id;label;magnetic field x-axis [T];magnetic field y-axis [T];magnetic field z-axis [T];time [s]
0;8.0;0.0002022794;8,19E+10;-0.0006585622;15.942.287.768.860.100
1;8.0;0.00020158393557533798;8,19E+10;-0.0006575191025167601;15.942.287.768.957.800
2;8.0;0.00020136438600927738;8,19E+10;-0.0006574749318018977;15.942.287.769.055.600
3;8.0;0.00020070717816999043;8,21E+09;-0.0006575341551455689;15.942.287.769.153.400
4;8.0;0.00020042748059382413;8,19E+10;-0.000657499484071492;15.942.287.769.251.100
5;8.0;0.00019957907346520275;8,18E+10;-0.0006573301096180108;15.942.287.769.348.900
6;8.0;0.00019982171957409173;8,17E+09;-0.0006572896184838709;15.942.287.769.446.600
7;8.0;0.00019940003714655712;8,13E+10;-0.0006571053875103894;1.594.228.776.954.440
8;8.0;0.0001995493320879977;8,12E+10;-0.000657367615706487;1.594.228.776.964.220
9;8.0;0.00019936780927778274;8,04E+10;-0.000657469329412436;1.594.228.776.973.990
10;8.0;0.0001994435045598344;8,07E+10;-0.0006572470717078027;15.942.287.769.837.700
11;8.0;0.00019939581889971504;7,97E+10;-0.000656973680877245;1.594.228.776.993.540
12;8.0;0.00019940242512626983;8,03E+10;-0.0006568039252834332;15.942.287.770.033.200
13;8.0;0.0001994330900578377;7,95E+09;-0.0006559477065377408;15.942.287.770.131.000
14;8.0;0.00019945502862560782;8,00E+10;-0.000656131862555041;15.942.287.770.228.700
15;8.0;0.00019953482706530856;7,94E+10;-0.000654488163149882;15.942.287.770.326.500
16;8.0;0.00019946399021311112;7,98E+10;-0.0006553316629669024;15.942.287.770.424.300
17;8.0;0.0001995331668807682;7,95E+10;-0.0006531340168694634;1.594.228.777.052.200
18;8.0;0.00019948562596272456;7,97E+10;-0.0006543748398812266;15.942.287.770.619.800
19;8.0;0.0001996184214536351;7,95E+10;-0.000651595388670708;15.942.287.770.717.500
20;8.0;0.0001995141801910771;7,96E+10;-0.0006537163661579418;15.942.287.770.815.300
21;8.0;0.00020414189607988908;8,20E+09;-0.0006569051888605927;15.942.287.770.913.100
22;8.0;0.00019969814161766193;8,05E+10;-0.0006564737679341537;15.942.287.771.010.800
