,amplitude,label,time [s]
0,7.0,8.0,1594226277.18598
1,12.6026,8.0,1594226277.1957562
2,10.1519,8.0,1594226277.2055323
3,10.96,8.0,1594226277.215309
4,-4.15,8.0,1594226277.2250845
5,-15.94,8.0,1594226277.2348607
6,-11.8068,8.0,1594226277.2446368
7,9.48,8.0,1594226277.2544134
8,-3.97,8.0,1594226277.264189
9,-17.68,8.0,1594226277.2739651
10,-11.41,8.0,1594226277.2837412
11,-9.75,8.0,1594226277.2935176
12,-4.56,8.0,1594226277.3032935
13,-21.38,8.0,1594226277.3130696
14,-16.14,8.0,1594226277.3228455
15,-4.12,8.0,1594226277.3326216
16,9.39,8.0,1594226277.342398
17,15.33,8.0,1594226277.352174
18,18.77,8.0,1594226277.3619502
19,-0.07,8.0,1594226277.3717265
20,-1.36,8.0,1594226277.3815026
21,-4.14,8.0,1594226277.3912785
22,8.25,8.0,1594226277.4010544
23,13.3053,8.0,1594226277.4108307
24,7.96,8.0,1594226277.4206069
25,-3.52,8.0,1594226277.430383
26,-18.59,8.0,1594226277.440159
27,-11.7,8.0,1594226277.4499352
28,-10.47,8.0,1594226277.4597113
29,-3.86,8.0,1594226277.4694874
30,-21.34,8.0,1594226277.4792635
31,-15.88,8.0,1594226277.4890394
32,-2.9,8.0,1594226277.4988158
33,9.38,8.0,1594226277.508592
34,15.01,8.0,1594226277.518368
35,18.74,8.0,1594226277.528144
36,-0.95,8.0,1594226277.5379202
37,-2.69,8.0,1594226277.5476966
38,-1.46,8.0,1594226277.5574725
39,8.3,8.0,1594226277.5672483
40,12.08,8.0,1594226277.5770247
41,9.84,8.0,1594226277.5868008
42,-5.0,8.0,1594226277.596577
43,-3.92,8.0,1594226277.606353
44,10.22,8.0,1594226277.6161294
45,2.38,8.0,1594226277.6259053
46,12.54,8.0,1594226277.6356814
47,15.0,8.0,1594226277.6454575
48,-14.87,8.0,1594226277.6552336
49,-3.87,8.0,1594226277.6650095
50,-33.97,8.0,1594226277.6747859
51,-15.3,8.0,1594226277.684562
52,27.12,8.0,1594226277.694338
53,11.32,8.0,1594226277.7041142
54,6.8,8.0,1594226277.7138903
55,-6.84,8.0,1594226277.7236664
56,5.35,8.0,1594226277.7334425
57,-7.81,8.0,1594226277.7432187
58,27.11,8.0,1594226277.7529948
59,27.54,8.0,1594226277.7627714
60,-5.52,8.0,1594226277.772547
61,-42.92,8.0,1594226277.7823234
62,-12.67,8.0,1594226277.7920992
63,-3.81,8.0,1594226277.8018756
64,-5.38,8.0,1594226277.8116515
65,-9.5,8.0,1594226277.8214276
66,21.04,8.0,1594226277.8312035
67,-5.39,8.0,1594226277.8409796
68,-24.44,8.0,1594226277.8507562
69,-8.0,8.0,1594226277.860532
70,35.87,8.0,1594226277.8703082
71,56.43,8.0,1594226277.8800845
72,-12.7,8.0,1594226277.8898606
73,-3.57,8.0,1594226277.8996365
74,-18.66,8.0,1594226277.9094124
75,-22.29,8.0,1594226277.9191887
76,-40.16,8.0,1594226277.9289649
77,-0.01,8.0,1594226277.938741
78,26.9,8.0,1594226277.948517
79,39.26,8.0,1594226277.9582932
80,-5.53,8.0,1594226277.9680693
81,-6.08,8.0,1594226277.9778454
82,9.53,8.0,1594226277.9876215
83,12.75,8.0,1594226277.9973974
84,-30.43,8.0,1594226278.0071738
85,-23.88,8.0,1594226278.01695
86,-27.97,8.0,1594226278.026726
87,-11.69,8.0,1594226278.036502
88,12.44,8.0,1594226278.0462782
89,6.99,8.0,1594226278.0560546
90,11.11,8.0,1594226278.0658305
91,20.21,8.0,1594226278.0756063
92,29.98,8.0,1594226278.0853827
93,0.66,8.0,1594226278.0951588
94,19.71,8.0,1594226278.104935
95,22.36,8.0,1594226278.114711
96,10.59,8.0,1594226278.1244874
97,0.3,8.0,1594226278.1342633
98,10.8125,8.0,1594226278.1440394
99,7.79,8.0,1594226278.1538155
100,-3.47,8.0,1594226278.1635914
101,-18.69,8.0,1594226278.1733675
102,-11.62,8.0,1594226278.1831439
103,-10.56,8.0,1594226278.19292
104,-3.96,8.0,1594226278.202696
105,-21.25,8.0,1594226278.2124722
106,-15.73,8.0,1594226278.2222486
107,-2.79,8.0,1594226278.2320244
108,9.4,8.0,1594226278.2418005
109,14.93,8.0,1594226278.2515767
110,18.69,8.0,1594226278.2613528
111,-1.07,8.0,1594226278.271129
112,-2.96,8.0,1594226278.280905
113,-1.01,8.0,1594226278.2906814
114,8.34,8.0,1594226278.3004572
115,11.96,8.0,1594226278.3102336
