id,label,magnetic field x-axis [T],magnetic field y-axis [T],magnetic field z-axis [T],time [s],amplitude
0,,,,,1594228776.8860116,
1,8.0,,,,1594228776.8957882,-10.5823
2,8.0,,,,1594228776.9055645,-3.2564
3,8.0,,,,1594228776.9153404,-2.75
4,8.0,,,,1594228776.9251163,10.43
5,8.0,,,,1594228776.9348927,21.46
6,8.0,,,,1594228776.9446688,30.1348
7,8.0,,,,1594228776.954445,-3.14
8,8.0,,,,1594228776.964221,13.6
9,8.0,,,,1594228776.973997,22.16
10,8.0,,,,1594228776.9837732,30.59
11,8.0,,,,1594228776.993549,3.94
12,8.0,,,,1594228777.0033257,-10.87
13,8.0,,,,1594228777.0131016,-15.57
14,8.0,,,,1594228777.0228775,-8.62
15,8.0,,,,1594228777.0326538,-7.29
16,8.0,,,,1594228777.0424302,-6.01
17,8.0,,,,1594228777.052206,-4.68
18,8.0,,,,1594228777.0619822,7.63
19,8.0,,,,1594228777.0717585,-2.66
20,8.0,,,,1594228777.0815346,7.14
21,8.0,,,,1594228777.0913105,-5.2
22,8.0,,,,1594228777.1010866,-9.79
23,8.0,,,,1594228777.1108627,-24.7447
24,8.0,,,,1594228777.1206384,-3.14
25,8.0,,,,1594228777.130415,14.74
26,8.0,,,,1594228777.140191,22.45
27,8.0,,,,1594228777.1499672,30.5
28,8.0,,,,1594228777.159743,2.97
29,8.0,,,,1594228777.1695194,-11.86
30,8.0,,,,1594228777.1792955,-15.16
31,8.0,,,,1594228777.1890714,-8.34
32,8.0,,,,1594228777.1988478,-7.19
33,8.0,,,,1594228777.2086241,-6.1
34,8.0,,,,1594228777.2184,-4.69
35,8.0,,,,1594228777.2281759,7.55
36,8.0,,,,1594228777.2379522,-2.58
37,8.0,,,,1594228777.2477286,6.87
38,8.0,,,,1594228777.2575045,-4.68
39,8.0,,,,1594228777.2672806,-11.53
40,8.0,,,,1594228777.277057,-23.69
41,8.0,,,,1594228777.2868328,-11.77
42,8.0,,,,1594228777.296609,-0.96
43,8.0,,,,1594228777.306385,-3.05
44,8.0,,,,1594228777.3161616,0.2
45,8.0,,,,1594228777.3259373,-2.95
46,8.0,,,,1594228777.3357134,-0.48
47,8.0,,,,1594228777.3454895,-15.42
48,8.0,,,,1594228777.3552654,-7.8
49,8.0,,,,1594228777.3650415,7.51
50,8.0,,,,1594228777.3748178,12.56
51,8.0,,,,1594228777.384594,2.24
52,8.0,,,,1594228777.3943698,24.51
53,8.0,,,,1594228777.4041462,12.72
54,8.0,,,,1594228777.4139225,-3.28
55,8.0,,,,1594228777.4236984,-8.43
56,8.0,,,,1594228777.4334743,-14.64
57,8.0,,,,1594228777.443251,-13.79
58,8.0,,,,1594228777.4530268,-7.88
59,8.0,,,,1594228777.462803,4.59
60,8.0,,,,1594228777.472579,1.04
61,8.0,,,,1594228777.482355,0.36
62,8.0,,,,1594228777.4921312,9.42
63,8.0,,,,1594228777.501907,4.83
64,8.0,,,,1594228777.5116837,-12.42
65,8.0,,,,1594228777.5214596,6.36
66,8.0,,,,1594228777.5312355,2.76
67,8.0,,,,1594228777.5410118,2.38
68,8.0,,,,1594228777.5507882,8.77
69,8.0,,,,1594228777.560564,-5.43
70,8.0,,,,1594228777.5703402,-13.95
71,8.0,,,,1594228777.5801165,2.48
