id,label,magnetic field x-axis [T],magnetic field y-axis [T],magnetic field z-axis [T],time [s]
0,,,,,1594227280.992674
1,,,,,1594227281.0024502
2,8.0,4.410154828804253e-06,2.036882235969698e-05,-7.643602893439204e-05,1594227281.0122266
3,8.0,4.333778575390069e-06,2.0570554563714074e-05,-7.578267581332315e-05,1594227281.0220025
4,8.0,4.542217773460441e-06,2.0398289345263762e-05,-7.551396837300005e-05,1594227281.0317786
5,8.0,4.46911533398773e-06,2.0396561264504822e-05,-7.463471e-05,1594227281.0415547
6,8.0,4.4643324924462766e-06,2.0197659861685485e-05,-7.44211098102288e-05,1594227281.0513306
7,8.0,4.5211765069573405e-06,2.00110784458941e-05,-7.337324438261406e-05,1594227281.061107
8,8.0,5.15192863291005e-06,2.0427818588596904e-05,-7.602197426854859e-05,1594227281.070883
9,8.0,7.666406388621255e-06,2.149276035977273e-05,-8.013556903797762e-05,1594227281.0806592
10,8.0,6.785768113547892e-06,2.1133810064785364e-05,-7.812461199402998e-05,1594227281.0904353
11,8.0,8.749166610854723e-06,2.2211241341387228e-05,-8.17228612033946e-05,1594227281.1002116
12,8.0,7.74228281808224e-06,2.176836300530449e-05,-7.998543094327727e-05,1594227281.1099875
13,8.0,8.453058102038838e-06,2.2581789383084777e-05,-8.174836898656082e-05,1594227281.1197634
14,8.0,7.873195464027744e-06,2.2337804279414427e-05,-8.177427555934698e-05,1594227281.1295395
15,8.0,7.627326540469995e-06,2.2503420191400766e-05,-8.171344077883019e-05,1594227281.1393158
16,8.0,7.393882957310197e-06,2.246475573684125e-05,-8.172469242662373e-05,1594227281.149092
17,8.0,6.794452637624527e-06,2.2381137325844626e-05,-8.177668911859404e-05,1594227281.158868
18,8.0,6.380068697197118e-06,2.2319948220151826e-05,-8.185904132663797e-05,1594227281.1686444
19,8.0,6.094748526626001e-06,2.2201141268820982e-05,-8.194858082704112e-05,1594227281.1784205
20,8.0,5.504012370545294e-06,2.2003596532638247e-05,-8.203587416666719e-05,1594227281.1881964
21,8.0,5.615875339804572e-06,2.1843919492398106e-05,-8.198453004468557e-05,1594227281.1979725
22,8.0,5.020201910458754e-06,2.1545055264040978e-05,-8.199434541417699e-05,1594227281.2077491
23,8.0,5.306579598989751e-06,2.146121223065701e-05,-8.177237525189088e-05,1594227281.2175248
24,8.0,4.797204796771027e-06,2.107886525834939e-05,-8.163414110221606e-05,1594227281.227301
25,8.0,5.044253073291577e-06,2.124746615689725e-05,-8.157521451856545e-05,1594227281.237077
26,8.0,5.3092511494193566e-06,1.999016531612903e-05,-7.829821842580646e-05,1594227281.2468526
27,8.0,6.42255059304717e-06,2.1491852504864578e-05,-7.887921205816924e-05,1594227281.2566292
28,8.0,4.635886293265256e-06,2.0560226134362513e-05,-8.050114153767894e-05,1594227281.2664053
29,8.0,4.810203080638206e-06,2.0870157431036894e-05,-8.104956375771632e-05,1594227281.2761815
30,8.0,4.5410774766443994e-06,2.0007254687554663e-05,-7.535061014209868e-05,1594227281.2859573
31,8.0,6.485765843226111e-06,2.1756869685542684e-05,-7.981457139639728e-05,1594227281.2957337
32,8.0,4.629099639490192e-06,2.024614652035504e-05,-7.912350072490031e-05,1594227281.3055098
33,8.0,9.541009747824449e-06,2.2484940938525934e-05,-8.197874718936144e-05,1594227281.315286
34,8.0,6.497101227550137e-06,2.164998087754351e-05,-7.944360516339367e-05,1594227281.3250618
35,8.0,4.6262711973112606e-06,2.032541937041271e-05,-7.95291599758478e-05,1594227281.3348384
36,8.0,8.823149201661463e-06,2.2042537307114074e-05,-8.075323325481388e-05,1594227281.3446145
37,8.0,6.487662992124815e-06,2.2024046041558913e-05,-8.149532787977523e-05,1594227281.3543904
38,8.0,5.4341944475708116e-06,2.037113458336723e-05,-7.85897528656204e-05,1594227281.3641665
39,8.0,7.64136884239578e-06,2.236642430992969e-05,-8.175717243717089e-05,1594227281.3739426
40,8.0,6.487662992124815e-06,2.2024046041558913e-05,-8.149532787977523e-05,1594227281.3837187
41,8.0,5.4341944475708116e-06,2.037113458336723e-05,-7.85897528656204e-05,1594227281.3934948
42,8.0,6.667848959446815e-06,2.2321710865521915e-05,-8.16373579896302e-05,1594227281.4032712
43,8.0,6.002322092916171e-06,2.180021369258519e-05,-8.188003901532166e-05,1594227281.413047
44,8.0,6.33268854055453e-06,2.082299949924055e-05,-7.866936711685421e-05,1594227281.4228232
45,8.0,5.216916436345491e-06,2.196604780492361e-05,-8.15970165000303e-05,1594227281.4325993
46,8.0,5.7397879736234425e-06,2.167159520575913e-05,-8.184212535614839e-05,1594227281.4423757
47,8.0,6.4658068011080615e-06,2.092737410954961e-05,-7.876032426302e-05,1594227281.4521515
48,8.0,4.9718010123256616e-06,2.1371754350488303e-05,-8.139627043559786e-05,1594227281.4619277
49,8.0,4.916799099584337e-06,2.114459737876548e-05,-8.145991199735321e-05,1594227281.4717038
50,8.0,6.8400344908306735e-06,2.144978715230483e-05,-7.925990447300415e-05,1594227281.4814801
51,8.0,4.6644537458767725e-06,2.0776786052799276e-05,-8.060136282199082e-05,1594227281.491256
52,8.0,4.916799099584337e-06,2.114459737876548e-05,-8.145991199735321e-05,1594227281.501032
53,8.0,6.8400344908306735e-06,2.144978715230483e-05,-7.925990447300415e-05,1594227281.5108082
54,8.0,4.644078323754587e-06,2.0668821271900607e-05,-7.998190200137773e-05,1594227281.5205846
55,8.0,4.344450549749489e-06,1.967912328785928e-05,-7.45099030077997e-05,1594227281.5303605
56,8.0,6.472489979192021e-06,2.157653626889488e-05,-7.91403159264422e-05,1594227281.5401366
57,8.0,4.617954716277984e-06,2.044158997413268e-05,-7.991172968409268e-05,1594227281.5499127
58,8.0,6.833097363945525e-06,2.2032022402901872e-05,-8.088809926450113e-05,1594227281.5596886
59,8.0,4.652944741180617e-06,2.0026520609177866e-05,-7.76997104169293e-05,1594227281.569465
60,8.0,8.167079964541544e-06,2.219486918261706e-05,-8.171722835510955e-05,1594227281.579241
61,8.0,6.485765843226111e-06,2.1756869685542684e-05,-7.981457139639728e-05,1594227281.5890172
62,8.0,4.629099639490192e-06,2.024614652035504e-05,-7.912350072490031e-05,1594227281.5987933
63,8.0,6.802718328532342e-06,2.21647647036688e-05,-8.169379824428597e-05,1594227281.6085696
64,8.0,4.8830270551638976e-06,2.0168167751251377e-05,-7.720616316461714e-05,1594227281.6183455
65,8.0,7.238387875634833e-06,2.2339256475896135e-05,-8.165257318772459e-05,1594227281.6281214
66,8.0,6.476194696268817e-06,2.204512129271363e-05,-8.192573195651798e-05,1594227281.6378975
67,8.0,5.676724930122766e-06,2.0470345128274625e-05,-7.858384400003123e-05,1594227281.6476738
68,8.0,5.619797778136253e-06,2.1623918052489514e-05,-8.157434249577713e-05,1594227281.65745
69,8.0,5.87824181991837e-06,2.072039139454078e-05,-7.745537607525683e-05,1594227281.667226
70,8.0,4.962046234137574e-06,2.1855001425190752e-05,-8.131299971807613e-05,1594227281.6770024
71,8.0,6.002322092916171e-06,2.180021369258519e-05,-8.188003901532166e-05,1594227281.6867785
72,8.0,6.33268854055453e-06,2.082299949924055e-05,-7.866936711685421e-05,1594227281.6965544
73,8.0,5.078941116798515e-06,2.1295305126707577e-05,-8.117581023190118e-05,1594227281.7063305
74,8.0,6.208145832242426e-06,2.1091263167067387e-05,-7.788174549622472e-05,1594227281.7161071
75,8.0,4.6127431746614345e-06,2.1030168680666454e-05,-8.104116125666107e-05,1594227281.7258828
76,8.0,5.044253073291577e-06,2.124746615689725e-05,-8.157521451856545e-05,1594227281.735659
77,8.0,6.827954322398963e-06,2.1315619047485794e-05,-7.908369493845623e-05,1594227281.745435
78,8.0,4.680716291753745e-06,2.0783622202076978e-05,-8.026245466036865e-05,1594227281.7552106
79,8.0,6.2725953335436535e-06,2.152546924033863e-05,-7.879505353565988e-05,1594227281.7649872
80,8.0,4.569948467901842e-06,2.033145254497522e-05,-7.917840938784351e-05,1594227281.7747633
81,8.0,4.494782559129343e-06,1.987417448476757e-05,-7.320448279564674e-05,1594227281.7845395
