,amplitude,label,time [s]
0,8.0,8.0,1594225726.872851
1,7.4872,8.0,1594225726.882627
2,3.7722,8.0,1594225726.8924036
3,0.56,8.0,1594225726.9021792
4,-19.19,8.0,1594225726.9119554
5,-20.01,8.0,1594225726.9217315
6,-14.0682,8.0,1594225726.931507
7,-2.1,8.0,1594225726.9412837
8,-19.17,8.0,1594225726.9510598
9,-20.51,8.0,1594225726.960836
10,-10.69,8.0,1594225726.9706118
11,1.04,8.0,1594225726.9803882
12,-0.39,8.0,1594225726.9901645
13,-0.52,8.0,1594225726.9999404
14,15.93,8.0,1594225727.0097165
15,14.28,8.0,1594225727.0194926
16,2.57,8.0,1594225727.0292687
17,7.34,8.0,1594225727.0390446
18,3.92,8.0,1594225727.0488212
19,-3.15,8.0,1594225727.058597
20,-28.28,8.0,1594225727.0683732
21,-13.37,8.0,1594225727.0781493
22,5.48,8.0,1594225727.0879257
23,8.0,8.0,1594225727.0977015
24,-3.87,8.0,1594225727.1074774
25,-19.17,8.0,1594225727.1172538
26,-20.79,8.0,1594225727.1270301
27,-9.56,8.0,1594225727.136806
28,1.79,8.0,1594225727.1465821
29,-0.97,8.0,1594225727.1563582
30,0.56,8.0,1594225727.1661346
31,15.87,8.0,1594225727.1759105
32,14.32,8.0,1594225727.1856866
33,0.85,8.0,1594225727.1954627
34,8.57,8.0,1594225727.2052386
35,3.55,8.0,1594225727.215015
36,-5.72,8.0,1594225727.224791
37,-27.29,8.0,1594225727.2345672
38,-12.54,8.0,1594225727.2443433
39,6.46,8.0,1594225727.2541196
40,7.7,8.0,1594225727.2638955
41,11.96,8.0,1594225727.2736714
42,13.18,8.0,1594225727.2834475
43,4.15,8.0,1594225727.293224
44,-13.06,8.0,1594225727.303
45,-20.22,8.0,1594225727.312776
46,0.15,8.0,1594225727.3225524
47,14.86,8.0,1594225727.3323286
48,-2.03,8.0,1594225727.3421044
49,-5.47,8.0,1594225727.3518806
50,3.24,8.0,1594225727.3616571
51,8.09,8.0,1594225727.3714328
52,20.98,8.0,1594225727.381209
53,9.44,8.0,1594225727.390985
54,-3.12,8.0,1594225727.4007616
55,-3.24,8.0,1594225727.4105372
56,-4.22,8.0,1594225727.4203134
57,-10.92,8.0,1594225727.4300895
58,-0.31,8.0,1594225727.4398654
59,14.3,8.0,1594225727.4496415
60,10.49,8.0,1594225727.4594178
61,9.3,8.0,1594225727.469194
62,-19.03,8.0,1594225727.4789698
63,2.09,8.0,1594225727.4887464
64,50.65,8.0,1594225727.4985225
65,-9.46,8.0,1594225727.5082984
66,13.59,8.0,1594225727.5180745
67,-7.82,8.0,1594225727.5278506
68,25.6,8.0,1594225727.5376267
69,-13.84,8.0,1594225727.5474026
70,5.88,8.0,1594225727.557179
71,-17.71,8.0,1594225727.566955
72,-20.92,8.0,1594225727.5767312
73,-1.26,8.0,1594225727.5865073
74,-6.94,8.0,1594225727.5962837
75,2.7,8.0,1594225727.6060596
76,-23.96,8.0,1594225727.6158354
77,-30.05,8.0,1594225727.6256118
78,-10.77,8.0,1594225727.6353881
79,-15.56,8.0,1594225727.645164
80,24.73,8.0,1594225727.6549401
81,4.81,8.0,1594225727.6647162
82,-6.56,8.0,1594225727.6744926
83,-2.1,8.0,1594225727.6842685
84,1.86,8.0,1594225727.6940446
85,4.68,8.0,1594225727.7038207
86,-4.83,8.0,1594225727.7135966
87,2.45,8.0,1594225727.723373
88,-13.07,8.0,1594225727.733149
89,-13.24,8.0,1594225727.7429252
90,14.93,8.0,1594225727.7527013
91,29.21,8.0,1594225727.7624776
92,17.86,8.0,1594225727.7722535
93,-4.45,8.0,1594225727.7820294
94,-1.5,8.0,1594225727.7918055
95,-10.75,8.0,1594225727.801582
96,7.26,8.0,1594225727.811358
97,13.36,8.0,1594225727.821134
98,14.2917,8.0,1594225727.8309102
99,-4.01,8.0,1594225727.8406866
100,-19.17,8.0,1594225727.8504624
101,-20.81,8.0,1594225727.8602386
102,-9.38,8.0,1594225727.8700151
103,1.85,8.0,1594225727.8797908
104,-1.01,8.0,1594225727.889567
105,0.77,8.0,1594225727.899343
106,15.86,8.0,1594225727.9091196
107,14.37,8.0,1594225727.9188952
108,0.57,8.0,1594225727.9286716
109,8.7,8.0,1594225727.9384475
110,3.6,8.0,1594225727.9482234
111,-6.14,8.0,1594225727.9579995
112,-27.06,8.0,1594225727.9677758
113,-12.41,8.0,1594225727.977552
114,6.62,8.0,1594225727.9873278
115,7.61,8.0,1594225727.9971044
116,11.99,8.0,1594225728.0068805
117,13.11,8.0,1594225728.0166564
118,4.08,8.0,1594225728.0264325
119,-13.29,8.0,1594225728.0362086
120,-19.95,8.0,1594225728.0459847
121,0.41,8.0,1594225728.0557609
122,14.68,8.0,1594225728.065537
123,-2.16,8.0,1594225728.075313
124,-5.46,8.0,1594225728.0850892
125,3.37,8.0,1594225728.0948653
126,8.13,8.0,1594225728.1046414
127,21.06,8.0,1594225728.1144176
128,9.26,8.0,1594225728.1241937
129,-3.25,8.0,1594225728.1339698
130,-3.21,8.0,1594225728.1437461
131,-4.23,8.0,1594225728.153522
132,-10.84,8.0,1594225728.1632981
133,-0.21,8.0,1594225728.1730742
134,14.38,8.0,1594225728.1828506
135,10.47,8.0,1594225728.1926265
136,9.15,8.0,1594225728.2024026
137,-19.3,8.0,1594225728.2121787
138,2.89,8.0,1594225728.2219546
139,50.4,8.0,1594225728.231731
140,-9.64,8.0,1594225728.241507
141,13.5,8.0,1594225728.2512832
142,-7.68,8.0,1594225728.2610593
143,25.5,8.0,1594225728.2708356
144,-14.0,8.0,1594225728.2806115
145,6.04,8.0,1594225728.2903874
146,-17.96,8.0,1594225728.3001635
147,-20.78,8.0,1594225728.30994
148,-1.29,8.0,1594225728.319716
149,-6.72,8.0,1594225728.329492
150,2.34,8.0,1594225728.3392682
151,-23.8,8.0,1594225728.3490446
152,-30.2,8.0,1594225728.3588204
153,-10.7,8.0,1594225728.3685966
154,-15.23,8.0,1594225728.3783727
155,24.79,8.0,1594225728.3881488
156,4.76,8.0,1594225728.397925
157,-6.83,8.0,1594225728.407701
158,-1.7,8.0,1594225728.4174776
159,1.59,8.0,1594225728.4272532
160,4.84,8.0,1594225728.4370296
161,-4.84,8.0,1594225728.4468055
162,2.43,8.0,1594225728.4565814
163,-13.32,8.0,1594225728.4663575
164,-13.11,8.0,1594225728.4761338
165,15.29,8.0,1594225728.48591
166,29.25,8.0,1594225728.495686
167,17.53,8.0,1594225728.5054624
168,-4.41,8.0,1594225728.5152385
169,-1.67,8.0,1594225728.5250144
170,-10.67,8.0,1594225728.5347905
171,7.38,8.0,1594225728.5445664
172,13.37,8.0,1594225728.5543427
173,14.15,8.0,1594225728.5641189
174,3.72,8.0,1594225728.573895
175,-9.34,8.0,1594225728.583671
176,-6.82,8.0,1594225728.5934472
177,-3.93,8.0,1594225728.6032233
178,-4.49,8.0,1594225728.6129994
179,6.28,8.0,1594225728.6227756
180,-8.52,8.0,1594225728.6325517
181,-9.17,8.0,1594225728.6423278
182,-10.64,8.0,1594225728.652104
183,4.55,8.0,1594225728.66188
184,-10.59,8.0,1594225728.6716561
185,2.55,8.0,1594225728.6814322
186,17.05,8.0,1594225728.6912086
187,10.32,8.0,1594225728.7009845
188,-0.31,8.0,1594225728.7107606
189,-2.91,8.0,1594225728.7205367
190,3.26,8.0,1594225728.7303126
191,-18.39,8.0,1594225728.7400892
192,-9.17,8.0,1594225728.749865
193,-9.08,8.0,1594225728.7596412
194,-32.49,8.0,1594225728.7694173
195,1.57,8.0,1594225728.7791936
196,18.01,8.0,1594225728.7889695
197,24.02,8.0,1594225728.7987454
198,15.11,8.0,1594225728.8085215
199,-6.33,8.0,1594225728.818298
200,-33.4,8.0,1594225728.828074
201,-6.17,8.0,1594225728.83785
202,28.41,8.0,1594225728.8476262
203,37.89,8.0,1594225728.8574026
204,50.45,8.0,1594225728.8671784
205,34.36,8.0,1594225728.8769546
206,-10.94,8.0,1594225728.8867307
