id,amplitude,label,time [s]
0,-1.0,8.0,1594227280.992674
1,0.2564,8.0,1594227281.0024502
2,9.1013,8.0,1594227281.0122266
3,10.41,8.0,1594227281.0220025
4,-1.43,8.0,1594227281.0317786
5,3.15,8.0,1594227281.0415547
6,-5.5,8.0,1594227281.0513306
7,10.9,8.0,1594227281.061107
8,-2.29,8.0,1594227281.070883
9,3.16,8.0,1594227281.0806592
10,-6.45,8.0,1594227281.0904353
11,3.44,8.0,1594227281.1002116
12,0.94,8.0,1594227281.1099875
13,3.07,8.0,1594227281.1197634
14,0.71,8.0,1594227281.1295395
15,-4.42,8.0,1594227281.1393158
16,-3.82,8.0,1594227281.149092
17,-3.97,8.0,1594227281.158868
18,-15.92,8.0,1594227281.1686444
19,-11.71,8.0,1594227281.1784205
20,7.04,8.0,1594227281.1881964
21,3.01,8.0,1594227281.1979725
22,-7.23,8.0,1594227281.2077491
23,1.1158,8.0,1594227281.2175248
24,11.13,8.0,1594227281.227301
25,-2.89,8.0,1594227281.237077
26,3.27,8.0,1594227281.2468526
27,-6.64,8.0,1594227281.2566292
28,3.51,8.0,1594227281.2664053
29,0.6,8.0,1594227281.2761815
30,3.32,8.0,1594227281.2859573
31,0.09,8.0,1594227281.2957337
32,-4.53,8.0,1594227281.3055098
33,-3.78,8.0,1594227281.315286
34,-4.82,8.0,1594227281.3250618
35,-16.02,8.0,1594227281.3348384
36,-10.92,8.0,1594227281.3446145
37,8.09,8.0,1594227281.3543904
38,2.46,8.0,1594227281.3641665
39,-8.17,8.0,1594227281.3739426
40,3.46,8.0,1594227281.3837187
41,12.47,8.0,1594227281.3934948
42,10.67,8.0,1594227281.4032712
43,4.83,8.0,1594227281.413047
44,-1.86,8.0,1594227281.4228232
45,15.26,8.0,1594227281.4325993
46,9.39,8.0,1594227281.4423757
47,4.5,8.0,1594227281.4521515
48,3.65,8.0,1594227281.4619277
49,17.97,8.0,1594227281.4717038
50,11.48,8.0,1594227281.4814801
51,-4.43,8.0,1594227281.491256
52,-18.36,8.0,1594227281.501032
53,-17.82,8.0,1594227281.5108082
54,-13.28,8.0,1594227281.5205846
55,-15.69,8.0,1594227281.5303605
56,-5.97,8.0,1594227281.5401366
57,-2.98,8.0,1594227281.5499127
58,-2.44,8.0,1594227281.5596886
59,8.71,8.0,1594227281.569465
60,0.83,8.0,1594227281.579241
61,-7.79,8.0,1594227281.5890172
62,-12.94,8.0,1594227281.5987933
63,-4.61,8.0,1594227281.6085696
64,-10.5,8.0,1594227281.6183455
65,5.77,8.0,1594227281.6281214
66,-0.9,8.0,1594227281.6378975
67,0.98,8.0,1594227281.6476738
68,8.2,8.0,1594227281.65745
69,23.75,8.0,1594227281.667226
70,15.04,8.0,1594227281.6770024
71,2.08,8.0,1594227281.6867785
72,1.63,8.0,1594227281.6965544
73,2.74,8.0,1594227281.7063305
74,-26.51,8.0,1594227281.7161071
75,-41.61,8.0,1594227281.7258828
76,-8.53,8.0,1594227281.735659
77,5.39,8.0,1594227281.745435
78,7.09,8.0,1594227281.7552106
79,12.91,8.0,1594227281.7649872
80,-6.45,8.0,1594227281.7747633
81,-17.8,8.0,1594227281.7845395
82,-4.26,8.0,1594227281.7943153
83,4.15,8.0,1594227281.8040915
84,-3.85,8.0,1594227281.8138678
85,2.38,8.0,1594227281.823644
86,27.24,8.0,1594227281.83342
87,11.55,8.0,1594227281.8431964
88,-15.88,8.0,1594227281.8529725
89,19.97,8.0,1594227281.8627484
90,1.13,8.0,1594227281.8725245
91,-13.92,8.0,1594227281.8823006
92,5.12,8.0,1594227281.8920767
93,20.18,8.0,1594227281.9018528
94,9.88,8.0,1594227281.911629
95,-7.65,8.0,1594227281.921405
