id,label,magnetic field x-axis [T],magnetic field y-axis [T],magnetic field z-axis [T],time [s]
0,,,,,1594226442.239798
1,8.0,2.8998332413175798e-05,3.89887126093806e-05,-0.00010085216991765125,1594226442.2495742
2,8.0,2.869667e-05,3.829067489709921e-05,-0.00010139074566763237,1594226442.2593505
3,8.0,2.8816927364689648e-05,3.834653063440481e-05,-0.0001012568132800815,1594226442.2691267
4,8.0,2.8987927331547426e-05,3.7532564580984075e-05,-0.00010111754654905005,1594226442.2789025
5,8.0,2.8899392071344228e-05,3.7609719010419805e-05,-0.00010138409746441474,1594226442.2886784
6,8.0,2.8930717429497858e-05,3.694667618198174e-05,-0.00010146331634755311,1594226442.2984548
7,8.0,2.8981471839634773e-05,3.714435070504283e-05,-0.00010132604772698485,1594226442.3082304
8,8.0,2.903523782066495e-05,3.6476619620153364e-05,-0.00010093840994248657,1594226442.318007
9,8.0,2.9122563221380738e-05,3.676002520981718e-05,-0.0001008032760397306,1594226442.327783
10,8.0,2.9340209235315492e-05,3.620325966559156e-05,-9.948365740933159e-05,1594226442.3375592
11,8.0,2.921726189073667e-05,3.645480896301043e-05,-0.00010000692950051809,1594226442.3473349
12,8.0,2.9360984820658264e-05,3.6271197269997753e-05,-9.83182105044406e-05,1594226442.3571115
13,8.0,2.9266679133959116e-05,3.636502992237047e-05,-9.886036556104561e-05,1594226442.3668876
14,8.0,2.9492852334766027e-05,3.627871941374142e-05,-9.721014802034088e-05,1594226442.3766634
15,8.0,2.9423047899693587e-05,3.627518921889816e-05,-9.750494215857768e-05,1594226442.3864398
16,8.0,2.9504029153190503e-05,3.623573635877335e-05,-9.621345692720265e-05,1594226442.396216
17,8.0,2.9537138901653887e-05,3.625437494202362e-05,-9.619727557201653e-05,1594226442.405992
18,8.0,2.9898445380791384e-05,3.638998484229897e-05,-9.575388582707278e-05,1594226442.415768
19,8.0,3.0182259663413984e-05,3.6509093128656905e-05,-9.608139216959623e-05,1594226442.4255445
20,8.0,3.0823974434849196e-05,3.675149773343178e-05,-9.652653655890385e-05,1594226442.4353206
21,8.0,3.113953515779368e-05,3.688274747688771e-05,-9.667898036843721e-05,1594226442.4450965
22,8.0,3.142183673228578e-05,3.702961237050837e-05,-9.718072190261401e-05,1594226442.4548724
23,8.0,3.1734416854204385e-05,3.7163942363871e-05,-9.742966084839543e-05,1594226442.4646487
24,8.0,3.16112980693559e-05,3.719093605343965e-05,-9.784858331785707e-05,1594226442.4744248
25,,,,,1594226442.484201
26,8.0,2.912965834309631e-05,3.7000804917486286e-05,-9.981666556771693e-05,1594226442.493977
27,8.0,3.177503364592537e-05,3.753430386541186e-05,-9.892610620939853e-05,1594226442.5037534
28,8.0,3.0083303877037933e-05,3.7219409055690996e-05,-0.00010113859718497638,1594226442.5135293
29,8.0,2.916874565543323e-05,3.684380071955842e-05,-9.95066045379395e-05,1594226442.5233054
30,8.0,3.177798970712174e-05,3.7614818215712776e-05,-9.926489572348965e-05,1594226442.5330815
31,8.0,2.9610471474409152e-05,3.673359473356039e-05,-0.000100979743668904,1594226442.5428574
