id,amplitude,label,time [s]
0,-6.0,8.0,1594227481.139649
1,-18.8077,8.0,1594227481.149425
2,-27.038,8.0,1594227481.1592011
3,-26.82,8.0,1594227481.1689773
4,-13.63,8.0,1594227481.1787536
5,18.5,8.0,1594227481.1885295
6,38.0682,8.0,1594227481.1983054
7,-27.15,8.0,1594227481.2080815
8,-10.4,8.0,1594227481.2178578
9,21.1,8.0,1594227481.227634
10,36.87,8.0,1594227481.23741
11,3.54,8.0,1594227481.2471864
12,-19.87,8.0,1594227481.2569625
13,-3.32,8.0,1594227481.2667384
14,24.56,8.0,1594227481.2765145
15,14.74,8.0,1594227481.2862904
16,-4.17,8.0,1594227481.2960668
17,-28.28,8.0,1594227481.3058429
18,-21.28,8.0,1594227481.315619
19,-6.45,8.0,1594227481.3253946
20,12.49,8.0,1594227481.3351712
21,18.08,8.0,1594227481.3449473
22,-5.17,8.0,1594227481.3547235
23,-3.8632,8.0,1594227481.3644993
24,-26.89,8.0,1594227481.3742757
25,-8.07,8.0,1594227481.3840518
26,23.08,8.0,1594227481.393828
27,35.99,8.0,1594227481.4036038
28,0.8,8.0,1594227481.4133801
29,-19.96,8.0,1594227481.4231565
30,-1.17,8.0,1594227481.4329324
31,25.31,8.0,1594227481.4427085
32,13.17,8.0,1594227481.4524846
33,-5.94,8.0,1594227481.4622607
34,-29.19,8.0,1594227481.4720366
35,-19.46,8.0,1594227481.4818132
36,-5.36,8.0,1594227481.491589
37,13.35,8.0,1594227481.5013652
38,16.04,8.0,1594227481.5111413
39,-5.75,8.0,1594227481.5209177
40,-0.46,8.0,1594227481.5306935
41,39.53,8.0,1594227481.5404696
42,23.91,8.0,1594227481.5502458
43,-8.43,8.0,1594227481.560022
44,-26.9,8.0,1594227481.569798
45,-5.69,8.0,1594227481.579574
46,6.09,8.0,1594227481.5893502
47,-0.95,8.0,1594227481.5991266
48,-16.18,8.0,1594227481.6089025
49,-30.76,8.0,1594227481.6186786
50,-24.98,8.0,1594227481.6284547
51,-9.43,8.0,1594227481.6382306
52,4.57,8.0,1594227481.648007
53,-11.12,8.0,1594227481.657783
54,-33.09,8.0,1594227481.6675591
55,-7.95,8.0,1594227481.6773353
56,1.71,8.0,1594227481.6871116
57,18.64,8.0,1594227481.6968875
58,2.05,8.0,1594227481.7066634
59,-19.65,8.0,1594227481.7164395
60,-8.04,8.0,1594227481.7262158
61,16.27,8.0,1594227481.735992
62,28.65,8.0,1594227481.745768
63,13.93,8.0,1594227481.7555444
64,1.24,8.0,1594227481.7653205
65,-6.22,8.0,1594227481.7750964
66,18.99,8.0,1594227481.7848725
67,22.25,8.0,1594227481.7946484
68,6.3,8.0,1594227481.8044248
69,11.59,8.0,1594227481.8142009
70,20.82,8.0,1594227481.823977
71,18.52,8.0,1594227481.8337526
72,9.66,8.0,1594227481.8435292
73,-13.03,8.0,1594227481.8533053
74,-36.42,8.0,1594227481.8630815
75,-8.81,8.0,1594227481.8728573
76,12.24,8.0,1594227481.8826337
77,-6.45,8.0,1594227481.8924098
